parent,name,size,type
Python_DE,HW8,12331,dir
HW8,data_files,230,dir
data_files,data_files2,115,dir
data_files2,memory.txt,6,file
data_files2,picture.jpg,0,file
data_files2,picture.png,0,file
data_files2,table.csv,76,file
data_files2,table_2.csv,23,file
data_files2,text.txt,10,file
data_files,files_33,0,dir
files_33,picture.jpg,0,file
data_files,ory_fn_000.txt,6,file
data_files,picture.jpg,0,file
data_files,picture.png,0,file
data_files,table.csv,76,file
data_files,table_2.csv,23,file
data_files,t_fn_001.txt,10,file
HW8,hw_pack,11378,dir
hw_pack,dir_info.py,3129,file
hw_pack,seminar_json.py,3375,file
hw_pack,__pycache__,4874,dir
__pycache__,dir_info.cpython-311.pyc,4874,file
HW8,hw_serialize.py,723,file
HW8,info.csv,0,file
HW8,info.json,0,file
HW8,info.pcl,0,file
